全宋诗：高
　高安斋　晚梅
　高伯易　句
　高昌　登洪庆观河亭
　高达　句
　高道华　章华台碑
　高得心　林下读书
　高登
　　高登　病中杂兴
　　高登　陈少阳赠官
　　高登　辞馈金
　　高登　杜门
　　高登　归途叹
　　高登　还山招陈希韩
　　高登　九日
　　高登　句
　　高登　立冬道中
　　高登　临别示子
　　高登　留别
　　高登　冒寒行风雨有感
　　高登　梦游故山
　　高登　觅蠹椽
　　高登　七夕
　　高登　乞米
　　高登　上元
　　高登　水涨谢邑宰送米
　　高登　思归
　　高登　似春阁
　　高登　送元大
　　高登　小原欲归
　　高登　偕学子游都峤
　　高登　言怀
　　高登　中秋月
　　高登　自叹
　高觌　海棠
　高定子　祷雨作
　高遁翁
　　高遁翁　春暮
　　高遁翁　僻性
　　高遁翁　秋晚
　　高遁翁　甥舅同登进士亦世之不易得者今幸逢其会因吟一律以寄一以表祖宗积
　　高遁翁　市桥晚坐
　　高遁翁　晓径
　　高遁翁　自咏遁翁
　高辅尧　登山顶
　高公泗
　　高公泗　港口野步怀归
　　高公泗　吴中羊肉价高有感
　　高公泗　峡塾讲中庸第二章
　高荷
　　高荷　答山谷先生
　　高荷　国香
　　高荷　和山谷题李亮功家周昿画美人琴阮图
　　高荷　句
　　高荷　蜡梅
　　高荷　上黄太史
　　高荷　诗一首
　高横槎　句
　高衡　题碧落洞
　高衡孙　高塘桥
　高华　章华台碑
　高吉
　　高吉　读渊明传
　　高吉　胡不归二首
　　高吉　倦游
　　高吉　快阁
　　高吉　觅桂花
　　高吉　墨梅
　　高吉　秋窗杂兴
　　高吉　塞南
　　高吉　试长沙胡邦明墨
　　高吉　送客之楚
　　高吉　巫秀丽为四川之奇观其一晴
　　高吉　忆潇湘故人
　　高吉　有所思
　　高吉　雨肥
　　高吉　庾岭
　高景山　留宿灵岩
　高迈
　　高迈　道傍菊
　　高迈　寒梅野雀图
　　高迈　建德县咏怀
　　高迈　勉婿史弥大
　　高迈　夜泊李阳驿
　高某　句
　高攀　大涤洞天留题
　高仁邱　题凤林桥
　高鎔　春日田园杂兴
　高善濂
　　高善濂　洞庭晚望七首
　　高善濂　岳阳楼晚眺即事叠韵四首
　高绅
　　高绅　咏华林书院
　　高绅　游峡山飞来寺
　高氏
　　高氏　红梅花
　　高氏　人日
　高述
　　高述　赋玉溪寺石菖蒲
　　高述　句
　　高述　流花亭
　　高述　玉溪晓步
　高斯得
　　高斯得　编局
　　高斯得　病起二首
　　高斯得　不浮次歆予亦再赋
　　高斯得　不浮弟摄兴国守书趣其归
　　高斯得　不浮欲卜居霅川而未决再韵趣之
　　高斯得　陈枢密挽诗二首
　　高斯得　池荷就衰有感
　　高斯得　齿落
　　高斯得　出其东门行
　　高斯得　春日偶成
　　高斯得　次魏明已表弟韵送刘长翁赴福建仓
　　高斯得　次韵北涧禅师留别
　　高斯得　次韵不浮弟自金陵相过
　　高斯得　次韵不浮和东坡端午游真如寺
　　高斯得　次韵不浮问疾末章及蝗
　　高斯得　次韵戴石屏见寄
　　高斯得　次韵戴石屏见简二首
　　高斯得　次韵方泳道见寄
　　高斯得　次韵功远兄惠诗见劳
　　高斯得　次韵李通甫赋中秋
　　高斯得　次韵刘养源见寄
　　高斯得　次韵刘养源见寄二十韵
　　高斯得　次韵刘友鹤端午三首
　　高斯得　次韵上饶温淳投赠
　　高斯得　次韵施秀才新楼有赋
　　高斯得　次韵王秉纯投赠三十韵
　　高斯得　次韵王深道寄题其弟敏道菊山
　　高斯得　次韵王深道见寄
　　高斯得　次韵王深道领客登翠屏
　　高斯得　次韵徐景说赠安象祖
　　高斯得　次韵徐影说见寄并呈牟存叟
　　高斯得　次韵雪寒郡中粜米食源有赋
　　高斯得　次韵养源避暑西湖
　　高斯得　次韵养源双溪阁野眺
　　高斯得　次韵俞掞县尉见赠钓台赋梅
　　高斯得　次韵詹丞贺得祠
　　高斯得　次韵张{上须下立}见寄
　　高斯得　次韵赵郎中泛舟之作
　　高斯得　次韵赵庸斋贺除闽漕
　　高斯得　次韵赵庸斋见寄
　　高斯得　次韵周子车喜雨
　　高斯得　存斋牟端明挽诗
　　高斯得　耽书
　　高斯得　道中遇雨
　　高斯得　邓侍郎再和予亦再答
　　高斯得　冬大雷电
　　高斯得　读荆轲传
　　高斯得　读陆逵常簿奏篇喜而赋
　　高斯得　读梅福传有感
　　高斯得　读书
　　高斯得　读天台侍郎黄公神道碑
　　高斯得　读谢章奏疏赋朝阳吟
　　高斯得　读哲宗长编
